2020-01-26 04:00:35,783 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10084?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:35,786 [INFO ]  The Departed (2006) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:35,788 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:36,076 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10085?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:36,080 [INFO ]  Gangs of New York (2002) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:36,083 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:36,523 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10086?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:36,526 [INFO ]  Raging Bull (1980) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:36,541 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:36,924 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10087?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:36,929 [INFO ]  Taxi Driver (1976) is older than 1980, Removing from Radarr...
2020-01-26 04:00:36,938 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:37,239 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10087?deleteFiles=false&addExclusion=true HTTP/1.1" 500 None
2020-01-26 04:00:37,254 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:37,626 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/10088?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:37,631 [INFO ]  Falling Down (1993) Has been downloaded, Removing from Radarr...
